PR_{101},PR_{102},PR_{103},PR_{104},PR_{105},PR_{106},PR_{107},PR_{108},PR_{109},PR_{110},PR_{111},PR_{112},PR_{113},PR_{114},PR_{115},PR_{116},PR_{117},PR_{118},PR_{119},PR_{120},PR_{121},PR_{122},PR_{123},PR_{124}
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25 
0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.0, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125 
0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.28983911099688514, 0.0, 0.2625, 0.2625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.2625, 0.3625, 0.2625, 0.2625, 0.3625, 0.3625, 0.2625, 0.2625, 0.3625, 0.2625 
0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.2625402314831985, 0.33983911099688513, 0.0, 0.3125, 0.21250000000000002, 0.4125, 0.4125, 0.4125, 0.4125, 0.4125, 0.21250000000000002, 0.4125, 0.21250000000000002, 0.21250000000000002, 0.4125, 0.4125, 0.21250000000000002, 0.21250000000000002, 0.4125, 0.21250000000000002 
0.16250000000000003, 0.16250000000000003, 0.16250000000000003, 0.16250000000000003, 0.26254023143319766, 0.3898391109968851, 0.0, 0.3625, 0.16250000000000003, 0.46249999999999997, 0.46249999999999997, 0.46249999999999997, 0.46249999999999997, 0.46249999999999997, 0.16250000000000003, 0.46249999999999997, 0.16250000000000003, 0.16250000000000003, 0.46249999999999997, 0.46249999999999997, 0.16250000000000003, 0.16250000000000003, 0.46249999999999997, 0.16250000000000003 
0.11250000000000003, 0.11250000000000003, 0.11250000000000003, 0.11250000000000003, 0.21254023143319767, 0.4398391109968851, 0.0, 0.3625000000999995, 0.11250000000000003, 0.5125, 0.5125, 0.5125, 0.5125, 0.5125, 0.11250000000000003, 0.5125, 0.21250000000000002, 0.11250000000000003, 0.5125, 0.5125, 0.11250000000000003, 0.11250000000000003, 0.5125, 0.11250000000000003 
0.06250000000000003, 0.06250000000000003, 0.06250000000000003, 0.06250000000000003, 0.16254023143319768, 0.3898391109968851, 0.0, 0.3125000000999995, 0.06250000000000003, 0.5625, 0.5625, 0.5625, 0.5625, 0.5625, 0.06250000000000003, 0.5625, 0.2625, 0.16250000000000003, 0.5625, 0.5625, 0.06250000000000003, 0.11250000000000085, 0.5625, 0.06250000000000003 
0.012500000000000025, 0.012500000000000025, 0.012500000000000025, 0.012500000000000025, 0.11254023143319768, 0.33983911099688513, 0.0, 0.2625000000999995, 0.012500000000000025, 0.5624999999999978, 0.6125, 0.6125, 0.6125, 0.6125, 0.012500000000000025, 0.6125, 0.3125, 0.21250000000000002, 0.6125, 0.6125, 0.012500000000000025, 0.16250000000000087, 0.6125, 0.012500000000000025 
0.0, 0.0, 0.0, 0.0, 0.06254023143319767, 0.28983911099688514, 0.0, 0.21250000009999953, 0.0, 0.5124999999999977, 0.6625000000000001, 0.5625, 0.6625000000000001, 0.6625000000000001, 0.0, 0.6625000000000001, 0.3625, 0.2125000001500014, 0.6625000000000001, 0.6625000000000001, 0.0, 0.11250000000000086, 0.6625000000000001, 0.0 
