itnum,ssobja,fsobj,ssobjx,abscrit,concrit,delta,delcrit,numcuts
1, 1320.0737522296376, -22251.893934223077, 1320.0737522296376, 23571.967686452714, 17.856553580159655, 0.25, -0.0, 24 
2, 819.5193851180899, 727.8659812145974, 819.5193851180899, 91.65340390349252, 0.1118379937898289, 0.0625, -0.3383773714554019, 24 
3, 819.5193851180899, 805.2151552886014, 849.9268803978209, 14.304229829488463, 0.017454413024562593, 0.125, 0.4164682761462138, 4 
4, 805.6522748932277, 805.4419612503553, 805.6522748932277, 0.21031364287239285, 0.00026104766215702597, 0.05, -97.82309943658278, 4 
5, 805.6098164604878, 805.5729833216589, 805.6098164604878, 0.036833138828910705, 4.572081679780855e-5, 0.05, -2.1964765116171905, 2 
6, 805.5983337301057, 805.5768633404886, 805.5983337301057, 0.021470389617093133, 2.665148215696726e-5, 0.05, -3.4709654386315743, 3 
7, 805.5930123577721, 805.5768634487949, 805.5930123577721, 0.016148908977129395, 2.0045989388442578e-5, 0.05, -108.32993933688755, 1 
8, 805.5911951109041, 805.5768634505714, 805.5911951109041, 0.014331660332686624, 1.7790239540430718e-5, 0.05, -36.09152032757023, 1 
9, 805.5894631974343, 805.5768677174489, 805.5894631974343, 0.01259547998540711, 1.5635110140856744e-5, 0.05, -15.128077390976026, 4 
10, 805.5878013911828, 805.5768680646676, 805.5878013911828, 0.010933326515214503, 1.357186205691323e-5, 0.05, -8.470226150388527, 4 
11, 805.5868916549773, 805.5768688089843, 805.5868916549773, 0.010022845993034935, 1.2441669665755123e-5, 0.05, -1.53558430541654, 4 
12, 805.5863367165332, 805.5768700562885, 805.5863367165332, 0.009466660244697778, 1.1751267137029033e-5, 0.05, -0.6878529719677853, 4 
13, 805.5860939168645, 805.5768707264456, 805.5860939168645, 0.009223190418879312, 1.1449043731668474e-5, 0.05, -0.22926979988692303, 4 
14, 805.5858963473124, 805.5768711443337, 805.5858963473124, 0.009025202978705238, 1.1203278284322246e-5, 0.05, -0.15522115904206132, 4 
15, 805.5858963473124, 805.5792612556006, 805.9870602066903, 0.0066350917118143116, 8.236355355646519e-6, 0.1, 0.9960786526453985, 4 
