itnum,ssobja,fsobj,ssobjx,abscrit,concrit,delta,delcrit,numcuts
1, 2354.414847447153, -31455.381407222365, 2354.414847447153, 33809.79625466952, 14.360169488111833, 0.25, -0.0, 24 
2, 1341.1650511291925, -3822.8624939968972, 1341.1650511291925, 5164.0275451260895, 3.8504041995262677, 0.0625, -0.46328233669935553, 24 
3, 1206.431268266789, -3808.5475641335092, 1206.431268266789, 5014.978832400298, 4.156870734629265, 0.05, -541.3815750613124, 6 
4, 1150.7389965851116, 888.1986406879819, 1150.7389965851116, 262.54035589712976, 0.2281493515699142, 0.05, -1.0732473241709821, 3 
5, 1150.7389965851116, 1149.5986732810647, 1192.992176955182, 1.1403233040468876, 0.0009909486924756766, 0.1, 0.8822718552808462, 4 
6, 1150.132445239132, 1149.5986732810647, 1150.132445239132, 0.533771958067291, 0.00046409607891399355, 0.05, -542.3850692135792, 1 
7, 1150.1121248189797, 1149.5987792118199, 1150.1121248189797, 0.513345607159863, 0.00044634396602037007, 0.05, -790.5837200314008, 1 
8, 1150.093163436603, 1149.5988743403332, 1150.093163436603, 0.49428909626976747, 0.00042978178810552627, 0.05, -13.945122803929415, 2 
9, 1150.0780493206523, 1149.6448369533423, 1150.0780493206523, 0.4332123673100341, 0.0003766808414141055, 0.05, -5.073907911941068, 1 
10, 1150.0684999588548, 1149.9380321841622, 1150.0684999588548, 0.13046777469253357, 0.0001134434815814796, 0.05, -2.2819112958958105, 2 
11, 1150.068369473189, 1150.0640224306687, 1150.068369473189, 0.004347042520294053, 3.77981225784422e-6, 0.05, -0.03223220311987063, 1 
