PR_{101},PR_{102},PR_{103},PR_{104},PR_{105},PR_{106},PR_{107},PR_{108},PR_{109},PR_{110},PR_{111},PR_{112},PR_{113},PR_{114},PR_{115},PR_{116},PR_{117},PR_{118},PR_{119},PR_{120},PR_{121},PR_{122},PR_{123},PR_{124}
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08425582273065549, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.367577211462381e-10, 0.0, 0.0, 0.08426398884018413, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3994833023822186e-10, 0.0, 0.0, 1.3994642955128346e-10, 0.08427310348405108, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.399481674667706e-10, 0.0, 0.0, 1.3994626220567023e-10, 2.5161304046391488e-9, 0.0, 0.0, 0.08427811485051015, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08427972464348592, 0.0, 1.3994885460388224e-10, 0.0, 0.0, 1.3994695391694383e-10, 2.5145610506024972e-9, 0.0, 0.0, 6.932076945296679e-10, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08429570779983836, 0.0, 0.0, 1.3994701146753608e-10, 0.0, 0.0, 1.3994511078059757e-10, 2.5161285052958506e-9, 0.0, 0.0, 6.932058513933285e-10, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08429839793267352, 0.0, 7.089970871975646e-10, 0.0, 0.0, 1.4313910790571887e-10, 0.0, 0.0, 1.431364134450035e-10, 2.5483772985842405e-9, 0.0, 0.0, 7.088431843091899e-10, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.884816549864571e-10, 0.08430272489299342, 6.933567787538426e-10, 0.0, 0.0, 1.3994701150118683e-10, 0.0, 0.0, 1.399451108142483e-10, 2.5161285056357656e-9, 0.0, 0.0, 6.932058515581481e-10, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08431287213697566, 8.884816549864381e-10, 4.0411465632401896e-10, 6.933571213817632e-10, 0.0, 0.0, 1.3994701150116785e-10, 0.0, 0.0, 1.399451108142294e-10, 2.5161285056357027e-9, 0.0, 0.0, 6.93205851558129e-10, 0.0 
