PR_{101},PR_{102},PR_{103},PR_{104},PR_{105},PR_{106},PR_{107},PR_{108},PR_{109},PR_{110},PR_{111},PR_{112},PR_{113},PR_{114},PR_{115},PR_{116},PR_{117},PR_{118},PR_{119},PR_{120},PR_{121},PR_{122},PR_{123},PR_{124}
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0 
0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625 
0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.0, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125, 0.1125 
0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.0, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625, 0.1625 
0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.0, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002, 0.21250000000000002 
0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.0, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625, 0.2625 
0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.0, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125, 0.3125 
0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.0, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625 
0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.0, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625, 0.3625 
0.4625, 0.26249999999999996, 0.3138506028701416, 0.26249999999999996, 0.26249999999999996, 0.4625, 0.0, 0.4625, 0.26249999999999996, 0.4625, 0.4625, 0.4625, 0.4625, 0.4625, 0.26249999999999996, 0.4625, 0.26249999999999996, 0.26249999999999996, 0.4625, 0.4625, 0.26249999999999996, 0.4625, 0.4625, 0.26249999999999996 
0.5125000000000001, 0.26035637188022565, 0.3638506028701416, 0.21249999999999997, 0.21249999999999997, 0.41250000000000003, 0.0, 0.41250000000000003, 0.21249999999999997, 0.41250000000000003, 0.5125000000000001, 0.5125000000000001, 0.5125000000000001, 0.5125000000000001, 0.21249999999999997, 0.5125000000000001, 0.21249999999999997, 0.21249999999999997, 0.5125000000000001, 0.5125000000000001, 0.21249999999999997, 0.5125000000000001, 0.5125000000000001, 0.21249999999999997 
0.5125000000000001, 0.26035637188022565, 0.3638506028701416, 0.21249999999999997, 0.21249999999999997, 0.41250000000000003, 0.0, 0.41250000000000003, 0.21249999999999997, 0.41250000000000003, 0.5125000000000001, 0.5125000000000001, 0.5125000000000001, 0.5125000000000001, 0.21249999999999997, 0.5125000000000001, 0.21249999999999997, 0.21249999999999997, 0.5125000000000001, 0.5125000000000001, 0.21249999999999997, 0.5125000000000001, 0.5125000000000001, 0.21249999999999997 
