ssobja,fsobj,ssobjx,concrit,delta,delcrit
1848.1197608739137, 0.0, 1848.1197608739137, -0.9999999999999458, 0.0625, -0.0 
1418.4434716856467, 1053.2620481421488, 1418.4434716856467, -0.25745222198350887, 0.05, -1.1766104776602069 
1179.571031909219, 1074.771420509269, 1179.571031909219, -0.08884552821741944, 0.05, -2.279325625212325 
1106.975428779297, 1106.4219887909537, 1106.975428779297, -0.0004999568860833881, 0.05, -131.1715897763505 
1036.6205212016228, 1036.6107920171053, 1036.6205212016228, -9.385483229874258e-6, 0.05, -7231.326194720806 
966.3501529188871, 966.2674085682835, 966.3501529188871, -8.56256403061783e-5, 0.05, -849.2467181765682 
896.1185943635626, 896.1135822425076, 896.1185943635626, -5.593144798562788e-6, 0.05, -14012.342555968768 
825.8959441207005, 825.890072088854, 825.8959441207005, -7.109893066166277e-6, 0.05, -11958.833140368926 
825.8959441207005, 755.6821315703662, 849.702044811889, -0.08501532553847292, 0.1, 0.25320275110240664 
804.6919740047148, 804.4404100085428, 804.6919740047148, -0.00031262148039078354, 0.05, -84.2885724118566 
804.5698367358965, 804.5698293041844, 804.5698367358965, -9.236876361538987e-9, 0.05, -16434.385998152575 
804.5698367358965, 804.568146578131, 804.5701187426223, -2.1006974017425094e-6, 0.05, 0.1429935042106548 
804.5683571186778, 804.568357118601, 804.5683571186778, -9.537861485989556e-14, 0.05, -8.371782334254622e6 
804.567327210551, 804.5669339887452, 804.567327210551, -4.887369800897694e-7, 0.05, -2.6191524726885893 
804.5664042913743, 804.5663033274438, 804.5664042913743, -1.2548862330958787e-7, 0.05, -9.141069078670178 
804.5655055212769, 804.565505521186, 804.5655055212769, -1.1304172196439801e-13, 0.05, -4.706847819637002e6 
804.5647763975162, 804.5647336877834, 804.5647763975162, -5.308426877647455e-8, 0.05, -17.07156671578952 
804.5641311637515, 804.564023453575, 804.5641311637515, -1.3387394781304884e-7, 0.05, -5.990456858699555 
804.5636222790542, 804.563313717929, 804.5636222790542, -3.835136423467753e-7, 0.05, -1.64921790427471 
804.5632922544416, 804.5626040245113, 804.5632922544416, -8.554080666773314e-7, 0.05, -0.4795266088987307 
804.5631115699549, 804.5619623589182, 804.5631115699549, -1.4283665509617843e-6, 0.05, -0.15722479617990548 
804.5629556273583, 804.5613606479263, 804.5629556273583, -1.9824171878667473e-6, 0.05, -0.09777090771149213 
804.5627913033578, 804.5607660925021, 804.5627913033578, -2.517156992038259e-6, 0.05, -0.08113920182986012 
804.5626512075738, 804.560171538354, 804.5626512075738, -3.082008860485664e-6, 0.05, -0.05649776882334652 
804.5625147285577, 804.5595769638022, 804.5625147285577, -3.6513815915474125e-6, 0.05, -0.04645675293614953 
804.5623825230142, 804.5589826475064, 804.5623825230142, -4.2257450530942975e-6, 0.05, -0.03888540605170868 
804.5622700807234, 804.5583883420834, 804.5622700807234, -4.8246590528928175e-6, 0.05, -0.02896699092561 
804.5621551269685, 804.5577946901826, 804.5621551269685, -5.4196394375332305e-6, 0.05, -0.02636289845917595 
804.5619950345866, 804.5572774388977, 804.5619950345866, -5.8635577097164525e-6, 0.05, -0.033935162956749636 
804.5618915711833, 804.5568989993076, 804.5618915711833, -6.2053297925680755e-6, 0.05, -0.020723467548041406 
804.5617889097198, 804.5565308691613, 804.5617889097198, -6.535284960043035e-6, 0.05, -0.019524661408544104 
804.5617064146378, 804.5561623114584, 804.5617064146378, -6.890836507913251e-6, 0.05, -0.014879788096548876 
804.5616269183479, 804.5558476882715, 804.5616269183479, -7.183079434900095e-6, 0.05, -0.013755515438336313 
804.561621878064, 804.5555626451776, 804.561621878064, -7.531098577950791e-6, 0.05, -0.0008318353010115203 
804.561621878064, 804.5552772736576, 804.5620154956654, -7.885790514853718e-6, 0.05, 0.05841564660403986 
804.561621878064, 804.5552783889087, 804.5620157777975, -7.884404354818542e-6, 0.05, 0.058464745634613874 
804.561621878064, 804.555279728816, 804.562013553007, -7.882738966817272e-6, 0.05, 0.05816530489429259 
804.561621878064, 804.5552801456121, 804.5620143178209, -7.882220925615301e-6, 0.05, 0.05827587101589775 
804.561621878064, 804.5552805915802, 804.562014882198, -7.88166662610599e-6, 0.05, 0.05835865282515923 
804.561621878064, 804.5552806800756, 804.5620130870136, -7.881556634001356e-6, 0.05, 0.05810833293567219 
804.561621878064, 804.5552808260356, 804.5620143610493, -7.881375218400771e-6, 0.05, 0.05828780553456001 
804.561621878064, 804.5552818434671, 804.5620121386964, -7.88011063970481e-6, 0.05, 0.0579856623463886 
804.561621878064, 804.5552825752279, 804.5620130622896, -7.879201124793202e-6, 0.05, 0.058121234939234254 
804.561621878064, 804.5552829622587, 804.5620110285446, -7.87872007921676e-6, 0.05, 0.057839869329844175 
804.561621878064, 804.5552832484287, 804.5620116632742, -7.878364394830355e-6, 0.05, 0.05793120867289959 
804.561621878064, 804.5552841301286, 804.5620105623693, -7.877268518718956e-6, 0.05, 0.05778461532747672 
804.561621878064, 804.5552844478391, 804.5620113677552, -7.87687363226326e-6, 0.05, 0.05790015196688831 
804.561621878064, 804.5552860040979, 804.5620121476957, -7.874939338185353e-6, 0.05, 0.05802279124775272 
