conidx,dualval
1,-0.06924837273137699
2,-0.06941258115774707
3,-0.06408128854635656
4,-0.06987656636950007
5,-0.07033291980423641
6,-0.07096312447575398
7,-0.07239504237813371
8,-0.0717408722178113
9,-0.07025652276337654
10,-0.07145574500907911
11,-0.07234527642275677
12,-0.07219528324356991
13,-0.07292980691122104
14,-0.06229246791330785
15,-0.05359719471889966
16,-0.07460740402164742
17,0.010315613542592195
18,-0.006153596391999069
19,-0.07423194951788736
20,-0.0739054673407048
21,-0.021446434188405028
22,-6.938893903907228e-17
23,-0.07372590214325432
24,-0.057569021026839085
25,-0.07475703611688532
26,-0.07477722379286658
27,-0.07412162263734516
28,-0.0748341935794136
29,-0.07489044033893272
30,-0.07496795579786611
31,-0.07495469947416528
32,-0.07495469947416528
33,-0.07488084600304272
34,-0.0750285529452878
35,-0.07503499607788397
36,-0.07527878112839714
37,-0.07532226093525951
38,-0.0748616434180423
39,-0.07749525869103534
40,-0.07461812420540774
41,-0.07436274520602282
42,-0.07434801603254813
43,-0.07517336611238941
44,-0.07565618516193849
45,-0.0743343389428928
46,-0.07434550441048143
47,-0.07592173563919054
48,-0.07423524304748777
49,-0.014231078898131697
50,-0.014110604574124027
51,-6.440160904563896e-17
52,-0.006352826301770113
53,-0.0206954292332214
54,-0.024186679984407593
55,-0.09560431967286731
56,-0.09560431967286731
57,-9.161508357502512e-17
58,-0.02738793310954968
59,-0.015260128444752129
60,-0.01294112627174511
61,-0.015720818655403777
62,-0.01629056584032866
63,-0.029842425857897138
64,-0.01773808503887678
65,-2.190088388420719e-17
66,-0.05744313905006937
67,-0.01761729399499299
68,-0.0175122583046593
69,-0.04563449318514986
70,-0.02769723574821234
71,-0.017454488674975684
72,-0.0333496111787638
73,-0.017793427444983797
74,-0.06924837273137699
75,-0.07749525869103537
76,-0.07749525869103535
77,-0.07749525869103539
78,-0.07749525869103537
79,-0.07749525869103538
80,-0.07749525869103537
81,-0.07749525869103538
82,-0.07749525869103538
83,-0.07749525869103538
84,-0.07749525869103538
85,-0.07749525869103539
86,-0.07749525869103546
87,-0.07749525869103535
88,-0.07749525869103532
89,-0.07749525869103532
90,-0.07749525869103532
91,-0.07749525869103532
92,-0.0774952586910353
93,-0.07749525869103527
94,-0.07749525869103532
95,-0.07749525869103532
96,-0.07749525869103527
97,-0.07749525869103534
98,-0.07749525869103528
99,-0.0774952586910353
100,-0.07749525869103532
101,-0.07749525869103531
102,-0.07749525869103528
103,-0.07749525869103532
104,-0.0774952586910353
105,-0.0774952586910353
106,-0.07749525869103534
107,-0.0774952586910353
108,-0.07749525869103532
109,-0.0774952586910353
110,-0.0774952586910353
111,-0.07749525869103532
112,-0.07749525869103534
113,-0.07749525869103532
114,-0.07749525869103532
115,-0.07749525869103532
116,-0.07749525869103527
117,-0.07749525869103525
118,-0.07749525869103532
119,-0.07749525869103531
120,-0.07749525869103525
121,-0.06587033461999693
122,-0.0774952586910353
123,-0.06587033461999689
124,-0.07749525869103531
125,-0.07749525869103532
126,-0.07749525869103531
127,-0.07749525869103531
128,-0.07749525869103531
129,-0.07749525869103531
130,-0.07749525869103532
131,-0.06587033461999689
132,-0.07749525869103532
133,-0.0774952586910353
134,-0.0774952586910353
135,-0.07749525869103531
136,-0.07749525869103528
137,-0.07749525869103527
138,-0.07749525869103527
139,-0.07749525869103527
140,-0.07749525869103527
141,-0.0774952586910353
142,-0.07749525869103527
143,-0.07749525869103527
144,-0.0774952586910353
145,-0.0774952586910353
146,-0.0774952586910353
147,-7.518935984187406
148,-8.869311437929404
149,-8.10914922425438
150,-8.935556703249196
151,-7.650348917219715
152,-9.090337164229096
153,-8.061963221827785
154,-9.310650203126098
155,-7.641260381429689
156,-9.160558879355563
157,-9.22622291885542
158,-9.27056564693647
159,-9.411271850380329
160,-9.211418001026082
161,-6.614094010461647
162,-7.811952183875356
163,1.0586257389229354
164,-0.8560727422744749
165,-9.290936575150237
166,-9.378167843579746
167,-2.6340070462434912
168,-2.220446049250313e-15
169,-9.426145041215976
170,-7.180485319781352
171,-8.632123994319183
172,-10.162249980385328
173,-9.944274170303979
174,-10.18119142865487
175,-10.1998924832021
176,-10.22566500482218
177,-10.221257511221761
178,-10.221257511221761
179,-10.196702535899226
180,-10.245812486544297
181,-10.236121690309282
182,-10.340841963918555
183,-8.799851004953906
184,-10.148332374049012
185,-9.907442532531341
186,-10.025009286921492
187,-9.880240929237488
188,-9.887124461070911
189,-8.724366354258498
190,-10.471929072092562
191,-9.89351631205909
192,-9.888298242510716
193,-8.998231999999998
194,-8.43310522117458
195,-0.842226204021808
196,-0.8280568644703399
197,-0.2792375617599001
198,-0.3728048220991991
199,-1.1550507094880271
200,-1.3219895496619611
201,-5.324994799794481
202,-5.324994799794481
203,0.0
204,-1.4789160798530454
205,-0.6927001721586075
206,-0.6892384486780085
207,-0.6809091359678459
208,-0.5468339303608389
209,-0.23508671811994541
210,-0.3419265906925393
211,-0.10793061660195669
212,0.015259152099577733
213,-0.613591959790388
214,-0.8498227155276454
215,-0.07323097476718043
216,-0.08687014034385943
217,-0.9797496311831322
218,-0.25181295933572123
219,-1.1202054494429692
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.5379010838544019
257,0.5715740300016012
258,69.41377665966516
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,-0.8707857250621336
269,0.0
270,0.0
271,-0.8707857250621336
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,-0.8707857250621336
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.5379010838544019
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.5379010838544019
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,1.208276000915605
383,0.0
384,0.0
385,1.208276000915605
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.5213618427004344
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.28838630066092236
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,-0.5379010838544019
494,-0.5715740300016012
495,-69.41377665966516
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,-0.5379010838544019
503,-0.5715740300016012
504,-69.41377665966516
505,0.0
506,0.5715740300016012
507,69.41377665966516
508,0.5379010838544019
509,0.5715740300016012
510,69.41377665966516
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,-103.75441544725243
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,-0.8707857250621336
539,0.0
540,0.0
541,-0.8707857250621336
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.7618787485730153
557,0.0
558,-14.370772846463922
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.5379010838544019
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.5379010838544019
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,-0.5379010838544019
656,0.0
657,0.0
658,-0.5379010838544019
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,0.0
673,0.5379010838544019
674,0.0
675,0.0
676,0.0
677,0.0
678,0.0
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,1.208276000915605
710,0.0
711,0.0
712,0.0
713,0.0
714,-67.64216985216417
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,0.0
723,0.0
724,0.0
725,0.0
726,0.0
727,0.0
728,0.0
729,0.0
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.0
753,0.0
754,-0.28838630066092236
755,0.0
756,0.0
757,0.0
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.5213618427004344
770,0.0
771,0.0
772,0.68654004485599
773,0.0
774,90.16347618537662
775,0.5213618427004344
776,0.0
777,0.0
778,0.0
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.0
789,0.0
790,0.0
791,0.0
792,0.0
793,0.0
794,0.0
795,0.0
796,0.0
797,0.0
798,0.0
799,0.0
800,0.0
801,0.0
802,0.0
803,0.0
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,0.0
811,0.0
812,0.0
813,0.0
814,0.0
815,0.0
816,0.0
